instance,|V|,|E|,opt_VC,LP_calls,BnB_nodes,runtime_sec
C125-9.vc,125,6963,121,564,819,12.63
MANN-a9.vc,45,918,42,49,79,1.01
bn-macaque-rhesus_brain_1.vc,242,3054,172,3040,3237,60.13
brock200-1.vc,200,14834,194,2390,2725,60.53
delaunay_n10.vc,1024,3056,914,2065,2991,61.05
eco-foodweb-baywet.vc,128,2075,92,2219,2285,60.03
econ-mahindas.vc,1258,7619,880,683,1145,62.07
hamming6-2.vc,64,1824,62,189,265,6.08
inf-USAir97.vc,332,2126,155,1966,2009,60.02
inf-euroroad.vc,1174,1417,583,1886,1951,60.05
johnson16-2-4.vc,120,5460,105,183,183,7.61
johnson8-2-4.vc,28,210,21,31,31,0.92
johnson8-4-4.vc,70,1855,65,280,319,8.19
keller4.vc,171,9435,156,1855,1913,60.19
mk11-b2.vc,6930,20779,910,1,3,0.28
